#title = SLSTR Level 2 Product, Fire Radiative Power (FRP) measurement, Near Real Time (NRT)
#description = csv output from the Alternative MWIR 1km scheme
#product_name = S3B_SL_2_FRP____20250811T090721_20250811T091221_20250811T111101_0299_109_378______MAR_O_NR_003.SEN3
#institution = EUMETSAT (Darmstadt, Germany)
#source = IPF-SL-2-FRP 04.03
#history = 
#reference1 = EUM/RSP/DOC/20/1169482 - EUMETSAT - FRP_NRT.003.00 SLSTR L2 NRT FRP Product Data Format Specification
#reference2 = S3IPF PDS 002 - i1r8 - Product Data Format Specification - Product Structures
#reference3 = S3MPC ACR FRP 002 - i1r3 - SLSTR L2 FRP Detailed processing model
#contact = ops@eumetsat.int
#creation_time = Mon Aug 11 11:11:25 2025
#absolute_orbit_number = 37995
#start_time = 2025-08-11T09:07:21.169453Z
#stop_time = 2025-08-11T09:12:21.158996Z
#processing baseline = FRP_NRT.003.01.00
#track_offset = 998
#start_offset = 14010
#number_of_detected_fires = 77

lat(deg),lon(deg),day,time,D/N,FRP(MW),FRPerr(MW),used_channel,MWIR_confidence_Abs_BT(%),MWIR_BT(K),IFOV_area(m2),SZA(deg),VZA(deg),eff_across_track_size(km),eff_along_track_size(km),satellite
44.432346,22.710555,2025-08-11,09:10:17,D,9.436014,1.971381,F1,70.000000,331.000000,910620.937500,34.325506,10.837751,0.945716,0.962891,S3B
44.431043,22.723383,2025-08-11,09:10:17,D,200.649497,20.373443,F1,100.000000,399.580000,910620.937500,34.325506,10.837751,0.945716,0.962891,S3B
44.429755,22.736168,2025-08-11,09:10:17,D,107.760242,11.003706,F1,100.000000,378.150000,910620.937500,34.325506,10.837751,0.945716,0.962891,S3B
44.428476,22.748959,2025-08-11,09:10:17,D,131.864538,13.417835,F1,100.000000,384.670000,910620.937500,34.325506,10.837751,0.945716,0.962891,S3B
44.422262,22.720507,2025-08-11,09:10:17,D,46.954348,5.094488,F1,100.000000,355.690000,910620.937500,34.325506,10.837751,0.945716,0.962891,S3B
44.420971,22.733302,2025-08-11,09:10:17,D,21.138259,2.751014,F1,100.000000,340.570000,910620.937500,34.325506,10.837751,0.945716,0.962891,S3B
44.419698,22.746091,2025-08-11,09:10:17,D,24.040461,3.024431,F1,100.000000,342.600000,910620.937500,34.325506,10.837751,0.945716,0.962891,S3B
44.425701,22.601203,2025-08-11,09:10:17,D,43.366807,4.979637,F1,100.000000,353.520000,908196.375000,34.367867,10.358381,0.945196,0.960855,S3B
44.424327,22.613978,2025-08-11,09:10:17,D,14.932405,2.912404,F1,83.766667,335.130000,908196.375000,34.367867,10.358381,0.945196,0.960855,S3B
45.014934,18.478671,2025-08-11,09:10:23,D,10.642949,1.505935,F1,40.633333,322.190000,942911.687500,36.729276,17.838745,0.947406,0.995256,S3B
43.100142,20.989839,2025-08-11,09:10:43,D,44.929134,5.629700,F1,100.000000,353.250000,891383.875000,34.044238,6.591925,0.941005,0.947268,S3B
43.098088,21.001856,2025-08-11,09:10:43,D,19.628002,3.617679,F1,85.500000,335.650000,891383.875000,34.044238,6.591925,0.941005,0.947268,S3B
43.122851,19.230099,2025-08-11,09:10:49,D,6.072631,1.300467,F1,11.033333,313.310000,907388.437500,34.921229,10.851528,0.944014,0.961202,S3B
42.664017,21.560255,2025-08-11,09:10:49,D,6.421324,1.045320,F1,27.600000,318.280000,899645.000000,33.440722,8.738577,0.942975,0.954050,S3B
42.778359,20.861276,2025-08-11,09:10:48,D,18.872567,2.398921,F1,84.633333,335.390000,891330.000000,33.856890,6.571222,0.940996,0.947219,S3B
42.776287,20.873235,2025-08-11,09:10:48,D,10.949425,1.776013,F1,58.533333,327.560000,891330.000000,33.856890,6.571222,0.940996,0.947219,S3B
42.519928,21.853437,2025-08-11,09:10:50,D,10.279604,1.425127,F1,64.400000,329.320000,907940.500000,33.181787,10.303117,0.945146,0.960636,S3B
42.578461,21.183936,2025-08-11,09:10:51,D,13.168904,2.135239,F1,78.066667,333.420000,894939.187500,33.553432,7.500217,0.941957,0.950085,S3B
42.872735,18.901494,2025-08-11,09:10:54,D,13.447199,1.727388,F1,61.933333,328.580000,913347.125000,34.898883,12.029297,0.945141,0.966361,S3B
42.185208,18.984021,2025-08-11,09:11:04,D,20.951258,3.185090,F1,85.333333,335.600000,906025.062500,34.354826,10.547275,0.943778,0.959998,S3B
42.182035,18.996015,2025-08-11,09:11:04,D,51.257802,5.665833,F1,100.000000,355.490000,906025.062500,34.354826,10.547275,0.943778,0.959998,S3B
42.178866,19.007973,2025-08-11,09:11:04,D,28.743217,3.581808,F1,100.000000,341.810000,906025.062500,34.354826,10.547275,0.943778,0.959998,S3B
42.176687,18.980352,2025-08-11,09:11:05,D,167.305877,17.078205,F1,100.000000,393.130000,906025.062500,34.354826,10.547275,0.943778,0.959998,S3B
42.173419,18.992011,2025-08-11,09:11:05,D,216.038760,21.972096,F1,100.000000,403.050000,906025.062500,34.354826,10.547275,0.943778,0.959998,S3B
42.170152,19.003627,2025-08-11,09:11:05,D,41.182928,5.226261,F1,100.000000,349.950000,906025.062500,34.354826,10.547275,0.943778,0.959998,S3B
41.272636,19.760299,2025-08-11,09:11:16,D,34.818947,4.257370,F1,100.000000,348.610000,890530.625000,33.279260,6.635375,0.940513,0.946856,S3B
41.266281,19.745427,2025-08-11,09:11:16,D,66.076810,7.468866,F1,100.000000,364.350000,890530.625000,33.279260,6.635375,0.940513,0.946856,S3B
41.263829,19.756995,2025-08-11,09:11:16,D,35.929936,4.245946,F1,100.000000,349.290000,890530.625000,33.279260,6.635375,0.940513,0.946856,S3B
42.035590,13.641081,2025-08-11,09:11:45,D,14.498088,2.243468,F1,62.000000,328.600000,1136389.000000,37.119332,38.278221,0.944499,1.203166,S3B
40.808144,20.356613,2025-08-11,09:11:22,D,164.008815,16.636826,F1,100.000000,394.180000,892729.500000,32.620010,6.938029,0.941378,0.948322,S3B
40.806178,20.368324,2025-08-11,09:11:22,D,19.215868,2.633186,F1,82.433333,334.730000,892729.500000,32.620010,6.938029,0.941378,0.948322,S3B
40.799492,20.353604,2025-08-11,09:11:22,D,17.928110,2.798998,F1,78.366667,333.510000,892729.500000,32.620010,6.938029,0.941378,0.948322,S3B
39.718400,22.703053,2025-08-11,09:11:37,D,9.961109,2.273082,F1,42.233333,322.670000,963086.250000,30.562682,20.352207,0.950244,1.013515,S3B
40.272998,20.063977,2025-08-11,09:11:31,D,25.019324,3.714974,F1,100.000000,341.490000,891673.812500,32.376253,6.695132,0.941060,0.947521,S3B
40.266353,20.049402,2025-08-11,09:11:31,D,31.714180,4.524056,F1,100.000000,346.340000,891673.812500,32.376253,6.695132,0.941060,0.947521,S3B
40.264429,20.060976,2025-08-11,09:11:31,D,54.771851,6.085554,F1,100.000000,359.510000,891673.812500,32.376253,6.695132,0.941060,0.947521,S3B
40.258296,19.643204,2025-08-11,09:11:33,D,162.301591,16.507195,F1,100.000000,393.920000,890368.562500,32.601116,6.385607,0.940662,0.946534,S3B
41.043570,14.541737,2025-08-11,09:11:51,D,35.272145,4.224952,F1,100.000000,342.850000,1067964.375000,36.013193,32.575487,0.948660,1.125761,S3B
40.808513,14.442995,2025-08-11,09:11:55,D,60.223199,7.924348,F1,100.000000,355.750000,1069652.375000,35.915590,32.764679,0.948405,1.127844,S3B
40.801686,14.436872,2025-08-11,09:11:55,D,32.798753,5.941689,F1,100.000000,342.360000,1069652.375000,35.915590,32.764679,0.948405,1.127844,S3B
40.682006,14.626182,2025-08-11,09:11:55,D,13.460888,2.253658,F1,46.666667,324.000000,1057157.625000,35.728348,31.633093,0.948730,1.114287,S3B
40.674930,14.620907,2025-08-11,09:11:56,D,16.634746,2.631764,F1,56.766667,327.030000,1057157.625000,35.728348,31.633093,0.948730,1.114287,S3B
39.335666,16.509581,2025-08-11,09:12:02,D,43.986017,5.034739,F1,100.000000,351.990000,951362.375000,33.739869,19.213531,0.947824,1.003733,S3B
38.951668,16.806336,2025-08-11,09:12:06,D,18.487682,2.202958,F1,94.333333,338.300000,936127.812500,33.321802,16.913626,0.946380,0.989167,S3B
51.418961,19.083498,2025-08-11,09:08:43,D,4.809831,0.948119,F1,0.000000,308.850000,995615.437500,41.459311,25.342495,0.948579,1.049586,S3B
51.409086,19.082878,2025-08-11,09:08:43,D,6.937378,1.367504,F1,0.000000,312.510000,995615.437500,41.459311,25.342495,0.948579,1.049586,S3B
51.397335,19.111578,2025-08-11,09:08:43,D,7.265745,1.432222,F1,0.000000,313.060000,995615.437500,41.459311,25.342495,0.948579,1.049586,S3B
51.383825,19.120318,2025-08-11,09:08:43,D,5.252103,1.035289,F1,0.000000,309.670000,995615.437500,41.459311,25.342495,0.948579,1.049586,S3B
51.430907,17.909778,2025-08-11,09:08:50,D,6.004131,0.917799,F1,0.000000,312.370000,1045046.312500,41.932924,30.549599,0.948674,1.101586,S3B
51.360165,17.526562,2025-08-11,09:08:54,D,8.389750,1.452273,F1,0.000000,314.540000,1062135.625000,42.025974,32.131081,0.948394,1.119930,S3B
48.277966,14.331601,2025-08-11,09:10:06,D,29.677953,6.814506,F1,0.000000,332.620000,1184537.750000,41.075430,41.949419,0.938607,1.262017,S3B
48.267861,14.347850,2025-08-11,09:10:06,D,20.003192,4.593201,F1,0.000000,325.390000,1184537.750000,41.075430,41.949419,0.938607,1.262017,S3B
44.688156,24.049779,2025-08-11,09:10:11,D,8.987004,1.211663,F1,0.000000,323.560000,939431.000000,33.970742,16.882433,0.948127,0.990829,S3B
45.019433,18.466368,2025-08-11,09:10:23,D,5.220621,0.681602,F1,0.000000,315.170000,942911.687500,36.729276,17.838745,0.947406,0.995256,S3B
42.518582,21.865841,2025-08-11,09:10:50,D,7.086602,0.822195,F1,0.000000,325.840000,907940.500000,33.181787,10.303117,0.945146,0.960636,S3B
42.170152,19.003627,2025-08-11,09:11:05,D,41.168397,8.327751,F1,0.000000,349.950000,906025.062500,34.354826,10.547275,0.943778,0.959998,S3B
42.167726,18.978410,2025-08-11,09:11:05,D,60.406916,12.219647,F1,0.000000,359.910000,906025.062500,34.354826,10.547275,0.943778,0.959998,S3B
42.164410,18.989868,2025-08-11,09:11:05,D,27.918278,5.647527,F1,0.000000,341.180000,906025.062500,34.354826,10.547275,0.943778,0.959998,S3B
41.275115,19.748714,2025-08-11,09:11:16,D,15.106131,2.668798,F1,0.000000,333.900000,890530.625000,33.279260,6.635375,0.940513,0.946856,S3B
39.718324,22.716583,2025-08-11,09:11:37,D,11.336363,2.089985,F1,0.000000,324.240000,963086.250000,30.562682,20.352207,0.950244,1.013515,S3B
39.709509,22.715354,2025-08-11,09:11:37,D,11.804188,2.176283,F1,0.000000,324.750000,963086.250000,30.562682,20.352207,0.950244,1.013515,S3B
40.271351,20.075570,2025-08-11,09:11:31,D,14.978055,3.181855,F1,0.000000,332.780000,891673.812500,32.376253,6.695132,0.941060,0.947521,S3B
40.260956,19.631916,2025-08-11,09:11:33,D,22.906613,3.986666,F1,0.000000,339.840000,890368.562500,32.601116,6.385607,0.940662,0.946534,S3B
40.255610,19.654453,2025-08-11,09:11:33,D,9.889936,1.721173,F1,0.000000,327.560000,890368.562500,32.601116,6.385607,0.940662,0.946534,S3B
41.050880,14.529374,2025-08-11,09:11:51,D,15.581267,2.548448,F1,0.000000,329.070000,1067964.375000,36.013193,32.575487,0.948660,1.125761,S3B
41.043570,14.541737,2025-08-11,09:11:51,D,35.228281,5.761711,F1,0.000000,342.850000,1067964.375000,36.013193,32.575487,0.948660,1.125761,S3B
38.947399,16.817477,2025-08-11,09:12:06,D,6.156292,0.719132,F1,0.000000,327.100000,936127.812500,33.321802,16.913626,0.946380,0.989167,S3B
