#title = SLSTR Level 2 Product, Fire Radiative Power (FRP) measurement, Near Real Time (NRT)
#description = csv output from the Standard MWIR 1km scheme
#product_name = S3B_SL_2_FRP____20250811T090721_20250811T091221_20250811T111101_0299_109_378______MAR_O_NR_003.SEN3
#institution = EUMETSAT (Darmstadt, Germany)
#source = IPF-SL-2-FRP 04.03
#history = 
#reference1 = EUM/RSP/DOC/20/1169482 - EUMETSAT - FRP_NRT.003.00 SLSTR L2 NRT FRP Product Data Format Specification
#reference2 = S3IPF PDS 002 - i1r8 - Product Data Format Specification - Product Structures
#reference3 = S3MPC ACR FRP 002 - i1r3 - SLSTR L2 FRP Detailed processing model
#contact = ops@eumetsat.int
#creation_time = Mon Aug 11 11:11:25 2025
#absolute_orbit_number = 37995
#start_time = 2025-08-11T09:07:21.169453Z
#stop_time = 2025-08-11T09:12:21.158996Z
#processing baseline = FRP_NRT.003.01.00
#track_offset = 998
#start_offset = 14010
#number_of_detected_fires = 55

lat(deg),lon(deg),day,time,D/N,FRP(MW),FRPerr(MW),used_channel,MWIR_confidence(%),MWIR_BT(K),IFOV_area(m2),SZA(deg),VZA(deg),eff_across_track_size(km),eff_along_track_size(km),satellite
39.725137,22.707668,2025-08-11,09:11:37,D,13.897935,3.171449,F1,79.334331,322.670000,1343716.875000,30.562682,20.352207,1.122422,1.197158,S3B
40.272760,20.064490,2025-08-11,09:11:31,D,32.303763,4.796598,F1,100.000000,341.490000,1154512.625000,32.376253,6.695132,1.070813,1.078165,S3B
40.265996,20.049797,2025-08-11,09:11:31,D,40.511716,5.779033,F1,100.000000,346.340000,1154387.750000,32.379174,6.674571,1.070777,1.078084,S3B
40.264067,20.061370,2025-08-11,09:11:31,D,71.557242,7.950533,F1,100.000000,359.510000,1154512.625000,32.371445,6.695142,1.070813,1.078165,S3B
40.258291,19.643796,2025-08-11,09:11:33,D,210.242754,21.383143,F1,100.000000,393.920000,1153368.500000,32.601116,6.385607,1.070613,1.077297,S3B
41.043744,14.532071,2025-08-11,09:11:51,D,60.531283,7.250531,F1,100.000000,342.850000,1832756.625000,36.013193,32.575487,1.242752,1.474757,S3B
40.811813,14.445845,2025-08-11,09:11:55,D,105.459399,13.876663,F1,100.000000,355.750000,1841361.125000,35.915590,32.764679,1.244348,1.479780,S3B
40.805117,14.439855,2025-08-11,09:11:55,D,54.674057,9.904531,F1,99.749519,342.360000,1841361.125000,35.911181,32.764733,1.244347,1.479781,S3B
40.685244,14.628424,2025-08-11,09:11:55,D,23.102064,3.867809,F1,85.862070,324.000000,1779118.625000,35.728348,31.633093,1.230766,1.445538,S3B
40.678251,14.623599,2025-08-11,09:11:56,D,27.546546,4.358107,F1,88.745144,327.030000,1779118.625000,35.724032,31.633147,1.230765,1.445538,S3B
39.337376,16.510949,2025-08-11,09:12:02,D,61.633048,7.054658,F1,100.000000,351.990000,1333045.500000,33.739869,19.213531,1.121959,1.188140,S3B
38.953261,16.807613,2025-08-11,09:12:06,D,25.354423,3.021186,F1,98.840068,338.300000,1283826.750000,33.321802,16.913626,1.108284,1.158391,S3B
